group group_name seqnames start end width strand gene_id gene_biotype symbol
24 1 genes chr9 343062 353894 10833 + ENSDARG00000099980 protein_coding bpifcl
25 1 genes chr9 354868 356501 1634 - ENSDARG00000099373 protein_coding zgc:158320
26 1 genes chr9 360252 403767 43516 - ENSDARG00000099207 protein_coding si:dkey-11f4.7
27 1 genes chr9 426392 433915 7524 + ENSDARG00000099148 protein_coding bzw1b
28 1 genes chr9 440196 443451 3256 - ENSDARG00000098461 protein_coding si:dkey-11f4.14
29 1 genes chr9 445471 456541 11071 - ENSDARG00000104716 protein_coding zgc:91849
30 1 genes chr9 458751 470097 11347 - ENSDARG00000099799 protein_coding si:dkey-11f4.16
31 1 genes chr9 473334 484157 10824 + ENSDARG00000100887 protein_coding si:dkey-11f4.20
32 1 genes chr9 492459 532470 40012 + ENSDARG00000078172 protein_coding CU984600.1
33 1 genes chr9 537297 549183 11887 + ENSDARG00000098640 protein_coding CU984600.3
34 1 genes chr9 563547 582037 18491 + ENSDARG00000098204 protein_coding CU984600.2
35 1 genes chr9 584940 695000 110061 - ENSDARG00000078058 protein_coding dip2a
36 1 genes chr9 701452 704667 3216 - ENSDARG00000074802 protein_coding cflarb
37 1 genes chr9 707086 712308 5223 - ENSDARG00000075709 protein_coding ndufb3
38 1 genes chr9 711638 746317 34680 - ENSDARG00000040990 protein_coding usp37
39 1 genes chr9 711638 715241 3604 + ENSDARG00000011999 protein_coding ybey
40 1 genes chr9 747612 755360 7749 + ENSDARG00000113367 protein_coding insig2
41 1 genes chr9 778745 785444 6700 - ENSDARG00000014321 protein_coding en1a
42 1 genes chr9 795609 813693 18085 - ENSDARG00000059294 protein_coding marco
43 1 genes chr9 844221 849069 4849 - ENSDARG00000015592 protein_coding c1ql2
44 1 genes chr9 881589 889567 7979 - ENSDARG00000097420 protein_coding si:ch73-250a16.5
45 1 genes chr9 890536 899861 9326 + ENSDARG00000075641 protein_coding steap3
46 1 genes chr9 900392 904227 3836 - ENSDARG00000037199 protein_coding C9H2orf76
47 1 genes chr9 907459 914886 7428 + ENSDARG00000026369 protein_coding dbi
48 1 genes chr9 917060 923251 6192 + ENSDARG00000059305 protein_coding tmem37
49 1 genes chr9 925969 950004 24036 - ENSDARG00000101077 protein_coding sctr
50 1 genes chr9 963627 970270 6644 + ENSDARG00000077553 protein_coding rap2aa
51 1 genes chr9 993477 1001460 7984 + ENSDARG00000112056 protein_coding CABZ01066921.1
52 1 genes chr9 1039215 1135542 96328 + ENSDARG00000114086 protein_coding DOCK9
53 1 genes chr9 1137430 1162804 25375 + ENSDARG00000100315 protein_coding slc15a1a
54 1 genes chr9 1162216 1176354 14139 + ENSDARG00000100955 protein_coding stk24a
55 1 genes chr9 1187805 1200187 12383 - ENSDARG00000104727 protein_coding ino80da
56 1 genes chr9 1235778 1236848 1071 - ENSDARG00000101366 protein_coding gpr1
57 1 genes chr9 1251514 1298793 47280 + ENSDARG00000112453 protein_coding FO818722.1
58 1 genes chr9 1313418 1357809 44392 + ENSDARG00000070272 protein_coding casp10
59 1 genes chr9 1365747 1371519 5773 + ENSDARG00000076718 protein_coding prkra
60 1 genes chr9 1391535 1459985 68451 - ENSDARG00000063730 protein_coding osbpl6
61 1 genes chr9 1463052 1484202 21151 - ENSDARG00000063731 protein_coding rbm45
62 1 genes chr9 1485234 1499721 14488 - ENSDARG00000042880 protein_coding si:ch211-222f23.6
63 1 genes chr9 1505206 1574386 69181 + ENSDARG00000063732 protein_coding pde11a
64 1 genes chr9 1589672 1639965 50294 - ENSDARG00000042821 protein_coding agps
65 1 genes chr9 1654284 1683368 29085 + ENSDARG00000042824 protein_coding nfe2l2a
66 1 genes chr9 1692926 1703801 10876 - ENSDARG00000059351 protein_coding hnrnpa3
67 1 genes chr9 1937049 1959917 22869 - ENSDARG00000059280 protein_coding hoxd3a
68 1 genes chr9 1948465 1951144 2680 - ENSDARG00000059276 protein_coding hoxd4a
69 1 genes chr9 1964005 1965727 1723 - ENSDARG00000059274 protein_coding hoxd9a
70 1 genes chr9 1967707 1970071 2365 - ENSDARG00000057859 protein_coding hoxd10a
71 1 genes chr9 1975818 1978090 2273 - ENSDARG00000059267 protein_coding hoxd11a
72 1 genes chr9 1981882 1986014 4133 - ENSDARG00000059263 protein_coding hoxd12a
73 1 genes chr9 1986816 1990323 3508 - ENSDARG00000059256 protein_coding hoxd13a
74 1 genes chr9 2002701 2007106 4406 + ENSDARG00000059255 protein_coding evx2
75 1 genes chr9 2020667 2037625 16959 + ENSDARG00000115902 protein_coding lnpa
76 1 genes chr9 2041535 2045511 3977 + ENSDARG00000063646 protein_coding lnpa.1
77 1 genes chr9 2330798 2341127 10330 + ENSDARG00000017775 protein_coding atp5mc3a
78 1 genes chr9 2343096 2382588 39493 + ENSDARG00000023903 protein_coding atf2
79 1 genes chr9 2393764 2487171 93408 + ENSDARG00000101735 protein_coding chn1
80 1 genes chr9 2499627 2518359 18733 + ENSDARG00000104300 protein_coding wipf1a
81 1 genes chr9 2522797 2560126 37330 + ENSDARG00000090804 protein_coding gpr155a
82 1 genes chr9 2560219 2573121 12903 - ENSDARG00000016611 protein_coding scrn3
83 1 genes chr9 2574122 2586554 12433 + ENSDARG00000099733 protein_coding CIR1
84 1 genes chr9 2591968 2594464 2497 - ENSDARG00000099374 protein_coding sp9
85 1 genes chr9 2762270 2777286 15017 + ENSDARG00000001549 protein_coding sp3a
86 1 genes chr9 2879763 2892250 12488 - ENSDARG00000077620 protein_coding cdca7a
87 1 genes chr9 2896009 2945008 49000 - ENSDARG00000006978 protein_coding zak
88 1 genes chr9 2949272 3034125 84854 - ENSDARG00000079872 protein_coding rapgef4
89 1 genes chr9 3035128 3037315 2188 + ENSDARG00000093284 protein_coding si:ch211-173m16.2
90 1 genes chr9 3055566 3124822 69257 + ENSDARG00000063580 protein_coding ppp1r9ala
91 1 genes chr9 3135062 3149896 14835 - ENSDARG00000013128 protein_coding pdk1
92 1 genes chr9 3153466 3166159 12694 + ENSDARG00000011652 protein_coding ftr52p
93 1 genes chr9 3170101 3234814 64714 + ENSDARG00000078386 protein_coding dync1i2a
94 1 genes chr9 3282369 3314374 32006 + ENSDARG00000034916 protein_coding hat1
95 1 genes chr9 3388099 3390109 2011 + ENSDARG00000013125 protein_coding dlx1a
96 1 genes chr9 3397407 3400729 3323 - ENSDARG00000079964 protein_coding dlx2a
97 1 genes chr9 3429662 3486488 56827 + ENSDARG00000042282 protein_coding itga6a
98 1 genes chr9 3429662 3457505 27844 + ENSDARG00000099348 protein_coding CU469503.1
99 1 genes chr9 3490824 3496579 5756 - ENSDARG00000095577 protein_coding cybrd1
100 1 genes chr9 3498377 3519717 21341 - ENSDARG00000074909 protein_coding dcaf17
101 1 genes chr9 3519191 3535024 15834 + ENSDARG00000017359 protein_coding mettl8
102 1 genes chr9 3548529 3609216 60688 + ENSDARG00000042467 protein_coding tlk1a
103 1 genes chr9 3621968 3653271 31304 - ENSDARG00000093411 protein_coding gad1a
104 1 genes chr9 3666401 3671911 5511 - ENSDARG00000076571 protein_coding sp5a
105 1 genes chr9 3699397 3866707 167311 - ENSDARG00000006892 protein_coding myo3b
106 1 genes chr9 3898132 4018452 120321 - ENSDARG00000042508 protein_coding ubr3
107 1 genes chr9 4024250 4075620 51371 - ENSDARG00000034801 protein_coding mylka
108 1 genes chr9 4250918 4419788 168871 + ENSDARG00000104119 protein_coding kalrna
109 1 genes chr9 4429593 4435542 5950 + ENSDARG00000112749 protein_coding FP015810.1
110 1 genes chr9 4478199 4511613 33415 - ENSDARG00000077165 protein_coding kcnj3a
111 1 genes chr9 4538527 4606463 67937 - ENSDARG00000099227 protein_coding galnt13
112 1 genes chr9 4609746 4610777 1032 + ENSDARG00000053383 protein_coding rprma
113 1 genes chr9 4675193 4721993 46801 + ENSDARG00000058467 protein_coding prpf40a
114 1 genes chr9 4730398 4856767 126370 - ENSDARG00000012586 protein_coding fmnl2a
115 1 genes chr9 5040985 5046315 5331 - ENSDARG00000017007 protein_coding nr4a2a
116 1 genes chr9 5243476 5246481 3006 + ENSDARG00000114227 protein_coding CABZ01075242.1
117 1 genes chr9 5253137 5263947 10811 - ENSDARG00000061717 protein_coding cytip
118 1 genes chr9 5271524 5318873 47350 - ENSDARG00000086172 protein_coding ACVR1C
119 1 genes chr9 5325015 5337923 12909 - ENSDARG00000012945 protein_coding tnfsf13b
120 1 genes chr9 5345236 5351017 5782 - ENSDARG00000059209 protein_coding abhd13
121 1 genes chr9 5776359 5805229 28871 - ENSDARG00000076824 protein_coding CCKBR
122 1 genes chr9 5862040 5892075 30036 + ENSDARG00000022261 protein_coding pdzk1
123 1 genes chr9 5893608 5916755 23148 - ENSDARG00000077983 protein_coding GPR89B
124 1 genes chr9 6009077 6127872 118796 + ENSDARG00000039335 protein_coding st6gal2a
125 1 genes chr9 6118362 6208067 89706 - ENSDARG00000027822 protein_coding tmtops2b
126 1 genes chr9 6255682 6370693 115012 + ENSDARG00000056102 protein_coding uxs1
127 1 genes chr9 6371919 6380653 8735 - ENSDARG00000056087 protein_coding ecrg4a
128 1 genes chr9 6393368 6502491 109124 - ENSDARG00000018206 protein_coding nck2a
129 1 genes chr9 6578580 6601988 23409 + ENSDARG00000042018 protein_coding fhl2a
130 1 genes chr9 6607514 6618067 10554 - ENSDARG00000042025 protein_coding C9H2orf49
131 1 genes chr9 6623536 6624663 1128 - ENSDARG00000063357 protein_coding GPR45
132 1 genes chr9 6658594 6661666 3073 - ENSDARG00000042032 protein_coding pou3f3a
133 1 genes chr9 6802641 6806478 3838 + ENSDARG00000110808 protein_coding FO203514.2
134 1 genes chr9 6915611 6927587 11977 - ENSDARG00000040374 protein_coding tmem182a
135 1 genes chr9 6934491 6956549 22059 + ENSDARG00000074728 protein_coding mfsd9
136 1 genes chr9 6963039 6991650 28612 - ENSDARG00000058780 protein_coding slc9a2
137 1 genes chr9 6997861 7068258 70398 + ENSDARG00000063352 protein_coding inpp4aa
138 1 genes chr9 7068832 7088770 19939 + ENSDARG00000110863 protein_coding BX629348.1
139 1 genes chr9 7072504 7081557 9054 + ENSDARG00000042124 protein_coding si:dkey-4e7.3
140 1 genes chr9 7081577 7089303 7727 - ENSDARG00000094833 protein_coding coa5
141 1 genes chr9 7091028 7213772 122745 - ENSDARG00000063330 protein_coding mgat4a
142 1 genes chr9 7228083 7238839 10757 - ENSDARG00000000666 protein_coding creg2
143 1 genes chr9 7240896 7257877 16982 - ENSDARG00000097160 protein_coding si:ch211-121j5.4
144 1 genes chr9 7275185 7287375 12191 - ENSDARG00000044766 protein_coding mitd1
145 1 genes chr9 7358749 7367278 8530 + ENSDARG00000058733 protein_coding ihha
146 1 genes chr9 7371962 7394412 22451 - ENSDARG00000088891 protein_coding slc23a3
147 1 genes chr9 7410798 7444753 33956 - ENSDARG00000042114 protein_coding bin1a
148 1 genes chr9 7456076 7499416 43341 + ENSDARG00000042115 protein_coding tmem198a
149 1 genes chr9 7515864 7539326 23463 - ENSDARG00000058656 protein_coding desma
150 1 genes chr9 7548533 7619622 71090 + ENSDARG00000058646 protein_coding ptprna
151 1 genes chr9 7621622 7655301 33680 - ENSDARG00000058644 protein_coding dnajb2
152 1 genes chr9 7662638 7673856 11219 - ENSDARG00000070155 protein_coding tuba8l3
153 1 genes chr9 7678136 7684002 5867 - ENSDARG00000094466 protein_coding si:ch73-199e17.1
154 1 genes chr9 7724152 7728223 4072 + ENSDARG00000042106 protein_coding mnx2a
155 1 genes chr9 7732714 7767156 34443 + ENSDARG00000006863 protein_coding si:ch1073-349o24.2
156 1 genes chr9 7909490 8133535 224046 + ENSDARG00000078582 protein_coding myo16
157 1 genes chr9 8288268 8314028 25761 - ENSDARG00000042063 protein_coding si:ch211-145c1.1
158 1 genes chr9 8364553 8369028 4476 + ENSDARG00000086529 protein_coding si:dkey-90l23.2
159 1 genes chr9 8372167 8375675 3509 + ENSDARG00000092057 protein_coding si:dkey-90l23.1
160 1 genes chr9 8380728 8385896 5169 + ENSDARG00000094478 protein_coding si:ch1073-75o15.4
161 1 genes chr9 8390737 8393808 3072 + ENSDARG00000094616 protein_coding zgc:113984
162 1 genes chr9 8396755 8399119 2365 + ENSDARG00000032156 protein_coding zgc:171776
163 1 genes chr9 8401796 8404342 2547 + ENSDARG00000095741 protein_coding si:ch1073-75o15.3
164 1 genes chr9 8407778 8413219 5442 + ENSDARG00000070166 protein_coding zgc:153499
165 1 genes chr9 8429239 8454060 24822 - ENSDARG00000075282 protein_coding irs2b
166 1 genes chr9 8634229 8670158 35930 - ENSDARG00000055009 protein_coding col4a1
167 1 genes chr9 8761099 8882901 121803 + ENSDARG00000104110 protein_coding col4a2
168 1 genes chr9 8887528 8895243 7716 - ENSDARG00000005049 protein_coding rab20
169 1 genes chr9 8894788 8923471 28684 + ENSDARG00000077119 protein_coding naxd
170 1 genes chr9 8929764 8967936 38173 + ENSDARG00000004771 protein_coding ankrd10b
171 1 genes chr9 8968702 8972763 4062 + ENSDARG00000003017 protein_coding ube2al
172 1 genes chr9 8973080 8979468 6389 - ENSDARG00000019116 protein_coding ing1
173 1 genes chr9 9112159 9122562 10404 + ENSDARG00000058606 protein_coding sik1
174 1 genes chr9 9180620 9228941 48322 - ENSDARG00000010946 protein_coding cbsb
175 1 genes chr9 9230446 9242777 12332 - ENSDARG00000015325 protein_coding u2af1
176 1 genes chr9 9251466 9282519 31054 - ENSDARG00000087403 protein_coding si:ch211-214p13.3
177 1 genes chr9 9295428 9303359 7932 + ENSDARG00000092106 protein_coding si:ch211-214p13.8
178 1 genes chr9 9322424 9348058 25635 - ENSDARG00000041998 protein_coding zgc:113337
179 1 genes chr9 9411009 9419704 8696 - ENSDARG00000091411 protein_coding si:ch211-214p13.9
180 1 genes chr9 9441453 9501931 60479 + ENSDARG00000006292 protein_coding maats1
181 1 genes chr9 9502610 9562644 60035 + ENSDARG00000029766 protein_coding nr1i2
182 1 genes chr9 9577743 9671244 93502 - ENSDARG00000017803 protein_coding gsk3ba
183 1 genes chr9 9675926 9705512 29587 - ENSDARG00000086215 protein_coding gpr156
184 1 genes chr9 9719225 9732212 12988 - ENSDARG00000063509 protein_coding lrrc58b
185 1 genes chr9 9735493 9842149 106657 - ENSDARG00000039576 protein_coding fstl1b
186 1 genes chr9 9858935 9866531 7597 + ENSDARG00000092421 protein_coding si:ch1073-394i4.1
187 1 genes chr9 9927516 9950487 22972 + ENSDARG00000104105 protein_coding ttf2
188 1 genes chr9 9953063 9960940 7878 - ENSDARG00000063212 protein_coding prmt2
189 1 genes chr9 9969987 10003782 33796 - ENSDARG00000006220 protein_coding ugt1a1
190 1 genes chr9 10014514 10043859 29346 + ENSDARG00000063224 protein_coding nxph2a
191 1 genes chr9 10050890 10068105 17216 - ENSDARG00000010563 protein_coding spopla
192 1 genes chr9 10138196 10145880 7685 - ENSDARG00000012796 protein_coding hnmt
193 1 genes chr9 10152820 10532591 379772 - ENSDARG00000095022 protein_coding thsd7ba
194 1 genes chr9 10557144 11283197 726054 + ENSDARG00000112156 protein_coding CR522881.1
195 1 genes chr9 10692905 10694930 2026 + ENSDARG00000041959 protein_coding cxcr4b
196 1 genes chr9 10699038 10759513 60476 + ENSDARG00000070043 protein_coding dars1
197 1 genes chr9 10758339 10769097 10759 - ENSDARG00000109373 protein_coding tmbim1b
198 1 genes chr9 10770880 10780660 9781 + ENSDARG00000024112 protein_coding gmppaa
199 1 genes chr9 10778227 10778615 389 - ENSDARG00000116313 protein_coding CABZ01053619.1
200 1 genes chr9 10781687 10805231 23545 - ENSDARG00000055934 protein_coding si:ch1073-416j23.1
201 1 genes chr9 11034314 11229565 195252 + ENSDARG00000025162 protein_coding asic4a
202 1 genes chr9 11245962 11263228 17267 - ENSDARG00000078392 protein_coding chpfa
203 1 genes chr9 11281969 11341315 59347 + ENSDARG00000073935 protein_coding wnt6b
204 1 genes chr9 11379782 11409691 29910 + ENSDARG00000017155 protein_coding wnt10a
205 1 genes chr9 11532025 11534622 2598 + ENSDARG00000078671 protein_coding cdk5r2b
206 1 genes chr9 11548233 11551608 3376 - ENSDARG00000009242 protein_coding fev
207 1 genes chr9 11554089 11560432 6344 - ENSDARG00000041925 protein_coding cryba2b
208 1 genes chr9 11576502 11587070 10569 - ENSDARG00000012215 protein_coding umps
209 1 genes chr9 11587629 11595736 8108 + ENSDARG00000070057 protein_coding si:dkey-69o16.5
210 1 genes chr9 11597500 11655031 57532 - ENSDARG00000006314 protein_coding itgav
211 1 genes chr9 11664797 11676491 11695 - ENSDARG00000015889 protein_coding zc3h15
212 1 genes chr9 11906770 12034444 127675 - ENSDARG00000027079 protein_coding znf804a
213 1 genes chr9 12259469 12401871 142403 - ENSDARG00000012222 protein_coding nup35
214 1 genes chr9 12403289 12424794 21506 - ENSDARG00000061664 protein_coding zgc:162707
215 1 genes chr9 12428226 12443726 15501 - ENSDARG00000070029 protein_coding ehhadh
216 1 genes chr9 12444494 12455521 11028 + ENSDARG00000070028 protein_coding tmem41aa
217 1 genes chr9 12468500 12575776 107277 - ENSDARG00000003421 protein_coding igf2bp2a
218 1 genes chr9 12579077 12595003 15927 - ENSDARG00000002168 protein_coding tra2b
219 1 genes chr9 12596038 12625385 29348 - ENSDARG00000089235 protein_coding tspearb
220 1 genes chr9 12648705 12652984 4280 - ENSDARG00000035993 protein_coding sumo3b
221 1 genes chr9 12655278 12659140 3863 - ENSDARG00000040039 protein_coding pttg1ipb
222 1 genes chr9 12664373 12811936 147564 - ENSDARG00000074143 protein_coding myo10l3
223 1 genes chr9 12834414 12886108 51695 - ENSDARG00000041904 protein_coding ankzf1
224 1 genes chr9 12847040 12869049 22010 + ENSDARG00000029955 protein_coding glb1l
225 1 genes chr9 12885746 12888157 2412 - ENSDARG00000095504 protein_coding si:ch211-167j6.3
226 1 genes chr9 12887491 12894091 6601 + ENSDARG00000070011 protein_coding hce2l2
227 1 genes chr9 12894578 12903567 8990 + ENSDARG00000058409 protein_coding hce2l1
228 1 genes chr9 12905591 12953824 48234 + ENSDARG00000020834 protein_coding si:dkey-230p4.1
229 1 genes chr9 12959760 13111163 151404 + ENSDARG00000020057 protein_coding bmpr2b
230 1 genes chr9 13120419 13212790 92372 + ENSDARG00000009839 protein_coding fam117bb
231 1 genes chr9 13229585 13251327 21743 + ENSDARG00000019950 protein_coding carf
232 1 genes chr9 13352308 13355071 2764 - ENSDARG00000060004 protein_coding fzd7a
233 1 genes chr9 13628635 13672200 43566 + ENSDARG00000075111 protein_coding als2a
234 1 genes chr9 13682133 13711991 29859 + ENSDARG00000058222 protein_coding mpp4a
235 1 genes chr9 13714379 13728937 14559 + ENSDARG00000041735 protein_coding tmem237a
236 1 genes chr9 13733468 13799692 66225 + ENSDARG00000058207 protein_coding abi2a
237 1 genes chr9 13814963 13963078 148116 - ENSDARG00000006301 protein_coding wu:fj59g11
238 1 genes chr9 13985567 13989879 4313 + ENSDARG00000095070 protein_coding cd28
239 1 genes chr9 13999620 14005116 5497 + ENSDARG00000069978 protein_coding cd28l
240 1 genes chr9 14010823 14019390 8568 + ENSDARG00000078193 protein_coding si:ch211-67e16.3
241 1 genes chr9 14023386 14041287 17902 + ENSDARG00000086317 protein_coding si:ch211-67e16.4
242 1 genes chr9 14044310 14084743 40434 - ENSDARG00000019316 protein_coding fer1l6
243 1 genes chr9 14090329 14108896 18568 - ENSDARG00000000369 protein_coding prkag3b
244 1 genes chr9 14111561 14143370 31810 - ENSDARG00000078935 protein_coding ttll4
245 1 genes chr9 14152211 14197504 45294 + ENSDARG00000095580 protein_coding si:ch211-67e16.11
246 1 genes chr9 14202686 14273652 70967 - ENSDARG00000074254 protein_coding abcb6b
247 1 genes chr9 14291932 14297132 5201 + ENSDARG00000113678 protein_coding BX511082.1
248 1 genes chr9 14367570 14504834 137265 - ENSDARG00000038446 protein_coding nrp2b
249 1 genes chr9 14569211 15208129 638919 - ENSDARG00000034555 protein_coding pard3bb
250 1 genes chr9 15362300 15424639 62340 - ENSDARG00000019815 protein_coding fn1a
251 1 genes chr9 15782048 15789526 7479 - ENSDARG00000095057 protein_coding si:dkey-103d23.3
252 1 genes chr9 15837398 15841997 4600 + ENSDARG00000075996 protein_coding znfl1b
253 1 genes chr9 15890558 15894501 3944 + ENSDARG00000068713 protein_coding si:dkey-14o1.20
254 1 genes chr9 15936216 16062938 126723 - ENSDARG00000068711 protein_coding crfb4
255 1 genes chr9 16097812 16109001 11190 - ENSDARG00000036833 protein_coding upp2
256 1 genes chr9 16127209 16239130 111922 - ENSDARG00000024694 protein_coding myo1b
257 1 genes chr9 16241656 16248098 6443 + ENSDARG00000076798 protein_coding C9H3orf38
258 1 genes chr9 16449398 16618607 169210 + ENSDARG00000039373 protein_coding epha3
259 1 genes chr9 16835900 16853462 17563 - ENSDARG00000102261 protein_coding RSPH1
260 1 genes chr9 16854121 16859169 5049 + ENSDARG00000076339 protein_coding cln5
261 1 genes chr9 16867458 16877567 10110 - ENSDARG00000103505 protein_coding fbxl3a
262 1 genes chr9 17045875 17286330 240456 - ENSDARG00000001220 protein_coding mycbp2
263 1 genes chr9 17306162 17334658 28497 + ENSDARG00000034677 protein_coding scel
264 1 genes chr9 17348745 17386456 37712 + ENSDARG00000019185 protein_coding slain1a
265 1 genes chr9 17415241 17417666 2426 - ENSDARG00000041220 protein_coding ftr53
266 1 genes chr9 17423941 17425881 1941 + ENSDARG00000078001 protein_coding kbtbd7
267 1 genes chr9 17429170 17434157 4988 + ENSDARG00000003257 protein_coding zgc:101559
268 1 genes chr9 17438765 17449872 11108 + ENSDARG00000035810 protein_coding rgcc
269 1 genes chr9 17540619 17783574 242956 - ENSDARG00000078593 protein_coding vwa8
270 1 genes chr9 17787864 17960341 172478 + ENSDARG00000018716 protein_coding dgkh
271 1 genes chr9 17971935 18006632 34698 + ENSDARG00000075435 protein_coding akap11
272 1 genes chr9 18023288 18043298 20011 + ENSDARG00000068141 protein_coding tnfsf11
273 1 genes chr9 18162115 18215644 53530 - ENSDARG00000094578 protein_coding epsti1
274 1 genes chr9 18215940 18278580 62641 + ENSDARG00000038309 protein_coding dnajc15
275 1 genes chr9 18310228 18568927 258700 - ENSDARG00000060243 protein_coding enox1
276 1 genes chr9 18572970 18587754 14785 + ENSDARG00000076914 protein_coding lacc1
277 1 genes chr9 18716485 18721416 4932 + ENSDARG00000094003 protein_coding serp2
278 1 genes chr9 18732505 18814737 82233 - ENSDARG00000038306 protein_coding tsc22d1
279 1 genes chr9 18829360 18905317 75958 + ENSDARG00000006816 protein_coding gtf2f2b
280 1 genes chr9 18876036 18877597 1562 - ENSDARG00000068691 protein_coding kctd4
281 1 genes chr9 18908721 18911698 2978 - ENSDARG00000092033 protein_coding si:dkey-239h2.3
282 1 genes chr9 19007959 19016295 8337 - ENSDARG00000038305 protein_coding vgll3
283 1 genes chr9 19039608 19057957 18350 + ENSDARG00000068683 protein_coding chmp2ba
284 1 genes chr9 19052374 19069164 16791 - ENSDARG00000112067 protein_coding CR361551.2
285 1 genes chr9 19073556 19092322 18767 - ENSDARG00000040332 protein_coding crfb2
286 1 genes chr9 19095023 19133001 37979 + ENSDARG00000068681 protein_coding crfb1
287 1 genes chr9 19132885 19161982 29098 - ENSDARG00000058924 protein_coding pou1f1
288 1 genes chr9 19248124 19308435 60312 + ENSDARG00000109862 protein_coding htr1fa
289 1 genes chr9 19326099 19383526 57428 + ENSDARG00000115053 protein_coding AL935292.2
290 1 genes chr9 19340216 19366538 26323 - ENSDARG00000068663 protein_coding zgc:152951
291 1 genes chr9 19367459 19410043 42585 + ENSDARG00000086103 protein_coding slc37a1
292 1 genes chr9 19421841 19477248 55408 + ENSDARG00000060280 protein_coding pde9a
293 1 genes chr9 19477687 19489264 11578 - ENSDARG00000090581 protein_coding wdr4
294 1 genes chr9 19489304 19510927 21624 + ENSDARG00000077967 protein_coding si:ch211-140m22.7
295 1 genes chr9 19518674 19528038 9365 + ENSDARG00000090389 protein_coding ndufv3
296 1 genes chr9 19529951 19550058 20108 + ENSDARG00000018765 protein_coding pknox1.1
297 1 genes chr9 19550367 19585848 35482 - ENSDARG00000053315 protein_coding tmprss3a
298 1 genes chr9 19604867 19610436 5570 - ENSDARG00000078625 protein_coding fgf9
299 1 genes chr9 19623363 19653458 30096 + ENSDARG00000088959 protein_coding pdxka
300 1 genes chr9 19681569 19762801 81233 - ENSDARG00000093349 protein_coding si:ch211-141e20.2
301 1 genes chr9 20076556 20372977 296422 - ENSDARG00000077002 protein_coding igsf3
302 1 genes chr9 20483846 20502622 18777 + ENSDARG00000069934 protein_coding parp4
303 1 genes chr9 20519846 20524673 4828 + ENSDARG00000078643 protein_coding vtcn1
304 1 genes chr9 20526472 20539280 12809 + ENSDARG00000076781 protein_coding trim45
305 1 genes chr9 20554178 20767773 213596 + ENSDARG00000041728 protein_coding man1a2
306 1 genes chr9 20780813 20784047 3235 + ENSDARG00000010437 protein_coding tent5c
307 1 genes chr9 20806334 20853467 47134 - ENSDARG00000021569 protein_coding gdap2
308 1 genes chr9 20853894 20872565 18672 + ENSDARG00000011079 protein_coding wdr3
309 1 genes chr9 21030930 21067971 37042 - ENSDARG00000002582 protein_coding tbx15
310 1 genes chr9 21072359 21098413 26055 - ENSDARG00000011801 protein_coding wars2
311 1 genes chr9 21146862 21164617 17756 + ENSDARG00000027992 protein_coding hao2
312 1 genes chr9 21165017 21176861 11845 + ENSDARG00000067751 protein_coding si:rp71-68n21.9
313 1 genes chr9 21194445 21200464 6020 + ENSDARG00000069926 protein_coding hsd3b1
314 1 genes chr9 21222428 21231297 8870 - ENSDARG00000069922 protein_coding pla1a
315 1 genes chr9 21235476 21238616 3141 - ENSDARG00000069920 protein_coding cox17
316 1 genes chr9 21243335 21257516 14182 + ENSDARG00000077382 protein_coding hcn5
